"А","Б","В","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Деятельность по операциям с недвижимым имуществом","L 68","1400","442,791","316,635","466,249","-92,168","107,479","3,875","82,814","819","-284,964","-284,964","0","1,052","63","1,451","194,119","193,311","808","43,705","320,593","1,519","328","316,806","236,026","17,877","62,903","Х"
"Деятельность профессиональная, научная и техническая в том числе:","M 69-75","1405","538,349","298,435","545,186","381,827","138,832","9,263","147,675","355","94,985","94,982","0","10","0","325","34,602","33,637","965","25,059","103,698","369","1,073","273,038","202,981","20,456","49,601","Х"
"Деятельность административная и сопутствующие дополнительные услуги из них:","N 77-82","1430","526,722","255,514","495,637","309,669","23,225","6,084","135,881","819","150,397","150,397","0","33","0","133","5,423","3,541","1,883","1,751","178,794","293","176","260,062","191,841","20,711","47,510","Х"
"аренда и лизинг легковых автомобилей и     легковых автотранспортных средств","N 77.11","1433","2,230","765","2,977","291","0","0","138","0","147","147","0","0","0","6","394","0","394","0","2,292","49","0","823","678","18","127","Х"
"Государственное управление и обеспечение военной безопасности; социальное обеспечение","O 84","1460","1,138,880","1,004,968","978,522","853,890","286","40","851,266","8","2,178","2,177","0","0","0","160","120,918","118,957","1,962","3,331","383","0","0","771,020","548,105","76,188","146,727","Х"
"Образование","P 85","1465","969,781","1,641,899","775,006","600,697","1,208","182","595,198","0","4,001","4,001","0","59","0","231","150,080","148,535","1,544","16,632","7,597","68","108","1,293,493","952,358","121,302","219,833","Х"
"Деятельность в области здравоохранения и социальных услуг (стр. 1470> или = стр. 1471+1475+1480)","Q 86-88","1470","728,855","1,419,938","583,949","496,845","4,623","266","481,408","66","10,756","10,756","0","8","0","50","63,852","62,566","1,287","5,368","17,884","97","114","1,079,226","795,930","99,923","183,373","Х"
"деятельность в области здравоохранения (стр. 1471> или = стр. 1472+1473+1474)","Q 86","1471","638,940","1,211,993","512,904","429,687","4,272","213","414,607","66","10,755","10,755","0","8","0","45","61,268","60,223","1,045","4,493","17,456","7","16","920,875","678,470","85,153","157,252","Х"
"деятельность по уходу с обеспечением проживания  (стр. 1475> или = стр. 1476+1477+1478+1479)","Q 87","1475","42,134","97,866","33,822","31,653","221","33","31,428","0","0","0","0","0","0","4","1,489","1,402","87","652","28","0","28","75,363","56,124","6,962","12,277","Х"
"предоставление социальных услуг без обеспечения проживания (стр. 1480> или = стр. 1481+1482)","Q 88","1480","47,781","110,079","37,224","35,504","129","19","35,373","0","1","1","0","0","0","1","1,096","941","155","224","400","90","70","82,988","61,336","7,808","13,844","Х"
"Деятельность в области культуры, спорта, организации досуга и развлечений- всего","R 90-93","1490","229,964","370,019","216,535","139,567","2,283","133","137,085","0","52","52","0","0","0","147","52,913","50,855","543","4,368","19,687","225","94","305,523","225,978","27,713","51,832","Х"
"деятельность в области спорта, отдыха и  развлечений","R 93","1496","110,686","123,141","104,161","46,620","363","55","46,073","0","52","52","0","0","0","132","37,855","37,465","390","3,763","15,923","225","87","108,612","80,381","9,914","18,317","Х"
"Предоставление прочих видов услуг (стр. 1497> или = стр. 1498+1502+1505)","S 94-96","1497","98,381","80,960","97,111","66,013","12,257","1,828","30,553","0","22,933","22,933","0","160","0","110","947","842","105","44","30,107","1,010","492","79,032","59,770","5,225","14,037","Х"
"из строки 1497:","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"деятельность общественных организаций","S 94","1498","18,374","25,212","16,893","14,002","15","4","13,759","0","51","51","0","160","0","17","725","636","88","-198","2,364","0","0","28,765","21,704","2,216","4,845","Х"
"ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения","S 95","1502","53,135","20,126","48,325","42,763","12,220","1,824","7,833","0","22,682","22,682","0","0","0","28","117","117","0","69","5,376","223","242","19,351","14,577","1,140","3,634","Х"
"деятельность по предоставлению прочих персональных услуг","S 96","1505","26,873","35,622","31,892","9,247","21","0","8,961","0","200","200","0","0","0","65","105","88","17","173","22,367","786","250","30,914","23,488","1,869","5,557","Х"
"Остальные виды экономической деятельности","T 97-98 U 99","1506","15","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","15","30","30","0","0","Х"
"Суммы налогов и сборов, не распределенные по кодам ОКВЭД","","1512","26,613","18,704","191,514","190,596","-1","-1","124,604","1,344","47","47","0","2","0","65,944","683","352","332","35","200","4","0","13,578","10,379","576","2,623","Х"
"Сведения по физическим лицам, не относящимся к индивидуальным предпринимателям и не имеющим код ОКВЭД","","1513","-286,507","0","-69,906","-419,253","0","0","-419,265","0","0","0","0","12","0","0","216,665","0","216,665","107,251","24,356","0","24,356","0","0","0","0","1,075"
